Draw,Date,Winning Number 1,2,3,4,5,6,Extra Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
12/004,2012-01-10,3,20,26,31,32,35,12,"3,31,32,35",2,4,3,3,1,1,1,3,0,0,0.00,0,0.00,34,133390.00,157.7,9600.00,2749,640.00,4178.8,320.00,45826.7,40.00,35006668
12/003,2012-01-07,3,7,10,31,32,35,30,,3,3,4,2,3,0,0,3,0,1,26778550.00,3,623020.00,98,50850.00,267.5,9600.00,5259.4,640.00,7572.8,320.00,92715.1,40.00,47701437
12/002,2012-01-05,9,11,33,43,46,48,2,,2,4,4,2,1,1,0,1,3,0,0.00,1,1964960.00,74.5,70330.00,139.5,9600.00,4640.5,640.00,4728.7,320.00,80542.9,40.00,43406215
12/001,2012-01-03,5,12,31,34,37,45,10,,2,4,4,2,1,1,0,3,1,0,0.00,1,1964300.00,65.5,79970.00,152,9600.00,3412,640.00,4496.4,320.00,69170.6,40.00,41183501
11/154,2011-12-31,2,3,27,40,44,49,38,,2,4,3,3,2,0,1,1,2,0.5,9383515.00,4,505060.00,54.5,98850.00,258.5,9600.00,3128,640.00,4787.8,320.00,64590.9,40.00,43332819
11/153,2011-12-29,7,10,21,23,29,39,1,,4,2,5,1,2,0,3,1,0,0,0.00,4,392180.00,77.5,53970.00,247,9600.00,4465.3,640.00,7141.8,320.00,78669.6,40.00,41025568
11/152,2011-12-26,8,30,31,37,38,48,5,,1,5,2,4,1,0,1,3,1,0,0.00,1,1083590.00,45,64210.00,91.5,9600.00,2072.4,640.00,3323.2,320.00,39566.5,40.00,23683821
11/151,2011-12-24,1,4,17,24,27,43,41,,4,2,4,2,2,1,2,0,1,1,15727140.00,2,865120.00,110.5,41750.00,125.5,9600.00,3906,640.00,3758.2,320.00,68658,40.00,37647017
11/150,2011-12-22,5,16,18,28,37,49,24,"37,49",3,3,3,3,1,2,1,1,1,0,0.00,0.5,799015.00,33.5,127200.00,128,9600.00,2620.9,640.00,3265,320.00,49474.3,40.00,32661416
11/149,2011-12-20,26,29,31,37,43,49,2,,0,6,5,1,0,0,2,2,2,1,54829860.00,0,0.00,153.5,85870.00,267.5,9600.00,6938,640.00,8914.5,320.00,130891,40.00,95020661
11/148,2011-12-18,1,2,23,35,38,46,5,,3,3,3,3,2,0,1,2,1,1,35865290.00,0,0.00,77,92230.00,207.5,9600.00,4221,640.00,6823.1,320.00,79880.1,40.00,54784706
11/147,2011-12-15,9,21,29,34,43,47,32,,2,4,5,1,1,0,2,1,2,0,0.00,2,1220960.00,66,98660.00,141.5,9600.00,3797,640.00,4362.4,320.00,68956.5,40.00,47837502
11/146,2011-12-13,3,25,32,36,38,40,31,"3,25",1,5,2,4,1,0,1,4,0,0,0.00,1.5,1540130.00,56,110000.00,158,9600.00,3182.6,640.00,4460.2,320.00,61366.4,40.00,45111327
11/145,2011-12-10,3,14,21,25,27,42,34,,3,3,4,2,1,1,3,0,1,0,0.00,2.5,638960.00,47,90630.00,156.5,9600.00,3027.5,640.00,3735.8,320.00,56366,40.00,34430922
11/144,2011-12-08,5,20,22,28,36,48,1,5,3,3,1,5,1,1,2,1,1,0.5,8826675.00,2.5,812930.00,89.5,60550.00,192,9600.00,3690.3,640.00,5633.1,320.00,70699.5,40.00,43934065
11/143,2011-12-06,1,2,5,6,11,43,25,2,5,1,4,2,4,1,0,0,1,0,0.00,2.5,474180.00,152.5,20720.00,361.7,9600.00,8501.9,640.00,7929.8,320.00,99714.7,40.00,40206868
11/142,2011-12-03,2,3,9,18,23,37,31,3,5,1,4,2,3,1,1,1,0,0,0.00,1.5,627440.00,95.7,26220.00,159.5,9600.00,4712.8,640.00,3846.4,320.00,71951.4,40.00,28798685
11/141,2011-12-01,1,3,8,22,28,33,5,3,4,2,3,3,3,0,2,1,0,3,15576820.00,16.5,104220.00,432,19200.00,933.9,9600.00,13585.6,640.00,17468.7,320.00,179632.6,40.00,77194239
11/140,2011-11-29,3,6,13,37,40,42,29,42,3,3,3,3,2,1,0,2,1,0,0.00,2,1670720.00,100.5,88660.00,238.5,9600.00,5179,640.00,7464.8,320.00,102751.2,40.00,67745359
11/139,2011-11-26,4,22,33,39,42,47,14,,2,4,3,3,1,0,1,2,2,0,0.00,3,762140.00,79.5,76690.00,213.5,9600.00,4614.5,640.00,5470.5,320.00,79766.8,40.00,49434499
11/138,2011-11-24,3,5,19,35,38,41,32,,3,3,5,1,2,1,0,2,1,0,0.00,3,762020.00,50.5,120710.00,165,9600.00,3696.2,640.00,4897.1,320.00,69803.5,40.00,46401264
11/137,2011-11-22,7,21,24,31,43,47,5,47,3,3,5,1,1,0,2,1,2,0,0.00,0,0.00,48.5,115970.00,137,9600.00,3241.5,640.00,4366.2,320.00,59141.5,40.00,41861269
11/136,2011-11-19,10,12,13,14,22,47,21,,5,1,2,4,1,3,1,0,1,0,0.00,0,0.00,45,82500.00,127.5,9600.00,2693.6,640.00,4111.6,320.00,51700.9,40.00,30613702
11/135,2011-11-17,3,6,23,24,42,44,35,,4,2,2,4,2,0,2,0,2,1,29149350.00,0,0.00,71.5,88330.00,177,9600.00,4624.7,640.00,5667.8,320.00,85470.8,40.00,50448764
11/134,2011-11-15,7,11,14,25,26,30,29,,3,3,3,3,1,2,3,0,0,0,0.00,0.5,975180.00,107,48600.00,254.5,9600.00,5517.8,640.00,6648,320.00,93680.1,40.00,48402879
11/133,2011-11-12,10,17,29,33,42,48,35,,2,4,3,3,1,1,1,1,2,0,0.00,0,0.00,44,109360.00,125.5,9600.00,2652.4,640.00,3399.7,320.00,52076.3,40.00,35727668
11/132,2011-11-10,4,7,9,20,37,49,33,,4,2,4,2,3,1,0,1,1,0,0.00,2,544520.00,106,27390.00,167,9600.00,4402.4,640.00,4749,320.00,68575.1,40.00,30855328
11/131,2011-11-08,2,23,30,34,40,42,48,34,2,4,1,5,1,0,2,2,1,2.5,18800770.00,2.5,1408890.00,126,74540.00,217,9600.00,5180.2,640.00,6685,320.00,96810.9,40.00,68915150
11/130,2011-11-06,1,3,7,11,16,34,49,"1,3,34",5,1,4,2,3,2,0,1,0,0,0.00,1,2285890.00,140.5,43380.00,219,9600.00,8000.5,640.00,7170.5,320.00,125912.9,40.00,57963521
11/129,2011-11-03,1,3,21,34,41,44,43,"21,44",3,3,4,2,2,0,1,1,2,0,0.00,0,0.00,50,134720.00,137,9600.00,3191.5,640.00,4815,320.00,65921.9,40.00,48225209
11/128,2011-11-01,8,15,19,21,24,44,10,15,5,1,3,3,1,2,2,0,1,0,0.00,2.5,868060.00,62.5,92590.00,219.5,9600.00,3419.2,640.00,6475.9,320.00,68364.8,40.00,46298012
11/127,2011-10-29,5,12,15,17,18,39,47,,5,1,4,2,1,4,0,1,0,0,0.00,1,1654220.00,38.5,114570.00,104,9600.00,3130.9,640.00,3313,320.00,58184.2,40.00,34275117
11/126,2011-10-27,1,9,22,43,46,48,49,22,3,3,3,3,2,0,1,0,3,0,0.00,1,1199100.00,46.5,68760.00,227,9600.00,2347,640.00,6563,320.00,45874.4,40.00,30372377
11/125,2011-10-25,17,22,26,27,29,35,44,26,2,4,4,2,0,1,4,1,0,1.5,27560740.00,4.5,840080.00,133.5,75510.00,378,9600.00,7066.7,640.00,9858.4,320.00,131947,40.00,81998348
11/124,2011-10-22,1,11,18,20,26,30,47,,4,2,2,4,1,3,2,0,0,0,0.00,0.5,790675.00,70.5,59810.00,103.5,9600.00,3956.8,640.00,3146.5,320.00,69327,40.00,34983206
11/123,2011-10-20,2,16,23,32,34,35,40,23,3,3,2,4,1,1,1,3,0,0,0.00,0,0.00,31.7,132810.00,70.2,9600.00,2216.1,640.00,2510.4,320.00,42085.6,40.00,29899395
11/122,2011-10-18,4,9,23,37,47,48,14,37,3,3,4,2,2,0,1,1,2,3.5,13198120.00,2,1365730.00,135.5,60470.00,364,9600.00,7455,640.00,9445.2,320.00,125195,40.00,71866623
11/121,2011-10-15,11,24,28,37,41,43,13,28,2,4,4,2,0,1,2,1,2,0,0.00,1,2687190.00,56.5,126820.00,208.5,9600.00,3669,640.00,5919,320.00,72269,40.00,53372245
11/120,2011-10-13,2,8,28,30,33,40,23,"2,33",2,4,1,5,2,0,2,2,0,0,0.00,0,0.00,94.5,57120.00,267.5,9600.00,4664.8,640.00,6814.6,320.00,82660.2,40.00,47908626
11/119,2011-10-11,2,6,22,25,33,39,46,,3,3,3,3,2,0,2,2,0,0,0.00,2.5,772640.00,109.2,47170.00,202.5,9600.00,5404,640.00,5120.5,320.00,89772.9,40.00,45894566
11/118,2011-10-08,4,8,24,26,37,41,33,"4,37",3,3,2,4,2,0,2,1,1,0,0.00,1.5,1484360.00,53,112020.00,151.2,9600.00,3371.7,640.00,4655.2,320.00,66920.9,40.00,44606687
11/117,2011-10-04,1,4,9,15,37,39,47,"9,37",4,2,5,1,3,1,0,2,0,0,0.00,4,329410.00,62.5,56220.00,130.5,9600.00,3451.5,640.00,3309.5,320.00,61642.8,40.00,30814243
11/116,2011-10-02,9,14,22,37,41,45,5,"22,37",3,3,4,2,1,1,1,1,2,1,29904680.00,1.5,1966830.00,79,99580.00,229.5,9600.00,4525.2,640.00,7294.7,320.00,86050.7,40.00,60165159
11/115,2011-09-27,4,22,23,37,40,49,13,40,3,3,3,3,1,0,2,2,1,0,0.00,1.5,1384210.00,51.5,107510.00,408.5,9600.00,3502.4,640.00,5637.3,320.00,66973.3,40.00,47883595
11/114,2011-09-24,6,16,18,28,34,40,38,,3,3,0,6,1,2,1,2,0,0,0.00,1,1738760.00,53.2,87150.00,186.4,9600.00,3115.5,640.00,6296.2,320.00,58703.9,40.00,38674999
11/113,2011-09-22,8,10,19,27,39,44,6,"10,27",3,3,3,3,2,1,1,1,1,0,0.00,0.5,793480.00,37,114370.00,164.5,9600.00,2907.4,640.00,4982.6,320.00,54760.6,40.00,34909079
11/112,2011-09-20,10,27,33,40,47,48,13,,1,5,3,3,1,0,1,2,2,0.5,4054320.00,5,344320.00,97,47320.00,127,9600.00,3466,640.00,3886,320.00,57690.3,40.00,36298504
11/111,2011-09-17,6,12,14,25,35,43,42,,3,3,3,3,1,2,1,1,1,1,43796810.00,0,0.00,109,72010.00,270.5,9600.00,5604.7,640.00,7957.4,320.00,107576.4,40.00,64072858
11/110,2011-09-15,5,7,13,29,41,49,25,13,3,3,6,0,2,1,1,0,2,0.5,34965495.00,2,2384890.00,163.5,77790.00,373.5,9600.00,7809.7,640.00,11555.7,320.00,150190.3,40.00,98579063
11/109,2011-09-13,11,13,16,19,28,46,22,19,4,2,3,3,0,4,1,0,1,0,0.00,2.5,2082880.00,168,82650.00,438,9600.00,9701.7,640.00,13919.9,320.00,185541.9,40.00,111922296
11/108,2011-09-10,15,19,36,44,45,49,16,44,2,4,4,2,0,2,0,1,3,0,0.00,0,0.00,39,135310.00,117.5,9600.00,2589.5,640.00,3887.2,320.00,53931.3,40.00,38305066
11/107,2011-09-08,14,18,22,30,39,44,32,44,3,3,1,5,0,2,2,1,1,0,0.00,0,0.00,51.5,87910.00,100,9600.00,2075,640.00,2823.7,320.00,40632.5,40.00,31954366
11/106,2011-09-06,1,4,7,21,23,44,17,"4,21",5,1,4,2,3,0,2,0,1,1.5,13684200.00,2,764580.00,115.5,35300.00,369.9,9600.00,5253,640.00,7169.1,320.00,79950.2,40.00,43718081
11/105,2011-09-04,4,18,21,22,39,46,29,,4,2,2,4,1,1,2,1,1,0,0.00,0.5,862495.00,80,57490.00,119.5,9600.00,3222.5,640.00,3344.7,320.00,56561.2,40.00,35517904
11/104,2011-09-02,2,29,33,34,44,49,42,49,1,5,3,3,1,0,1,2,2,0,0.00,0,0.00,36,140830.00,88.5,9600.00,1948.5,640.00,2962,320.00,43216.4,40.00,34633979
11/103,2011-08-30,9,15,24,46,48,49,6,9,3,3,3,3,1,1,1,0,3,1.5,5440250.00,1,1386790.00,56,66030.00,296,9600.00,3029.5,640.00,6829.2,320.00,58652.9,40.00,36058501
11/102,2011-08-27,9,10,19,27,29,45,30,10,3,3,5,1,2,1,2,0,1,0.5,4000000.00,4,215390.00,82.5,27840.00,332.7,9600.00,4622.9,640.00,6457.7,320.00,67030.3,40.00,29222198
11/101,2011-08-25,6,10,17,20,25,28,2,25,4,2,2,4,2,2,2,0,0,1,42179490.00,1,2674340.00,151.2,47160.00,365.5,9600.00,6689,640.00,9962.9,320.00,119097.7,40.00,65433423
11/100,2011-08-23,11,24,25,36,41,45,40,,2,4,4,2,0,1,2,1,2,0,0.00,1.5,1757190.00,123,57140.00,254,9600.00,6363,640.00,6088.1,320.00,113849.4,40.00,59856919
11/099,2011-08-20,13,15,17,23,26,47,1,17,4,2,5,1,0,3,2,0,1,0,0.00,1.5,1595420.00,72,88630.00,162.5,9600.00,3552.4,640.00,5449,320.00,70350.2,40.00,48006147
11/098,2011-08-18,5,14,17,43,45,49,12,5,3,3,5,1,1,2,0,0,3,0,0.00,1,2484210.00,58,114210.00,130,9600.00,2690.5,640.00,4033.5,320.00,56890.2,40.00,45806753
11/097,2011-08-16,5,8,9,10,22,38,7,,5,1,2,4,4,0,1,1,0,0,0.00,8.5,112830.00,227.5,19200.00,644,9600.00,9047.8,640.00,12558.2,320.00,115971.8,40.00,41740730
11/096,2011-08-13,11,18,23,31,37,49,10,37,3,3,5,1,0,2,1,2,1,0,0.00,0.5,739620.00,59,66850.00,130,9600.00,2273.7,640.00,3911.8,320.00,44606.3,40.00,30696647
11/095,2011-08-11,4,6,7,25,35,37,48,"6,25",3,3,4,2,3,0,1,2,0,2,24932880.00,3,1125040.00,141.5,63600.00,300,9600.00,6830.8,640.00,9858.5,320.00,131817.8,40.00,74824663
11/094,2011-08-09,5,6,11,25,45,48,34,45,3,3,4,2,2,1,1,0,2,0,0.00,2.5,861530.00,185,31040.00,516.5,9600.00,9338.7,640.00,11160.7,320.00,136367.2,40.00,66185681
11/093,2011-08-06,9,30,31,34,42,45,24,34,1,5,3,3,1,0,1,2,2,0,0.00,1,2618560.00,48,145470.00,160,9600.00,3644,640.00,5289.9,320.00,78366.3,40.00,51628156
11/092,2011-08-04,2,11,25,32,34,39,31,"11,25",2,4,3,3,1,1,1,3,0,0,0.00,0,0.00,49.5,133000.00,138.2,9600.00,3028.6,640.00,4500.2,320.00,63926.2,40.00,46944341
11/091,2011-08-02,11,14,21,24,25,47,36,47,4,2,4,2,0,2,3,0,1,0,0.00,2,1115610.00,58,102580.00,173,9600.00,3000.9,640.00,4865.2,320.00,61113.7,40.00,44312716
11/090,2011-07-30,6,29,44,45,46,47,30,47,1,5,3,3,1,0,1,0,4,0,0.00,2.5,678300.00,50.5,89540.00,114.5,9600.00,3040.5,640.00,3148,320.00,42312.5,40.00,33644596
11/089,2011-07-28,11,21,30,36,42,47,34,,2,4,3,3,0,1,2,1,2,1.5,34706930.00,0,0.00,110,91300.00,211,9600.00,5945.7,640.00,6136.7,320.00,112311.2,40.00,73849714
11/088,2011-07-26,15,25,26,34,35,41,10,,1,5,4,2,0,1,2,2,1,0,0.00,2,1554160.00,111.5,74330.00,304,9600.00,6084.4,640.00,8589,320.00,105824.2,40.00,67713944
11/087,2011-07-24,7,8,27,29,37,48,21,,2,4,4,2,2,0,2,1,1,0.5,31436560.00,7,515420.00,328,29330.00,656,9600.00,14477.3,640.00,16149.6,320.00,211410.3,40.00,102999064
11/086,2011-07-21,6,18,26,28,30,49,22,,2,4,1,5,1,1,3,0,1,0,0.00,5.5,621420.00,117,77890.00,472.5,9600.00,8037.2,640.00,12945.4,320.00,142921.9,40.00,82552099
11/085,2011-07-19,3,10,31,40,41,43,20,31,2,4,4,2,2,0,0,2,2,0,0.00,4,982970.00,103,101790.00,393.5,9600.00,5766,640.00,9673.3,320.00,113986.1,40.00,81348033
11/084,2011-07-16,11,17,20,31,48,49,35,"11,48",3,3,4,2,0,3,0,1,2,0,0.00,0,0.00,40,96840.00,105,9600.00,2204.5,640.00,2913.9,320.00,42190.2,40.00,29039326
11/083,2011-07-14,11,13,33,37,45,48,36,"33,45",2,4,5,1,0,2,0,2,2,1,13699280.00,1.5,1266500.00,43,117810.00,88,9600.00,2624.2,640.00,3764.9,320.00,52465.8,40.00,36565480
11/082,2011-07-12,16,18,28,33,41,45,29,,2,4,3,3,0,2,1,1,2,0,0.00,1,1695150.00,35.5,127330.00,133.5,9600.00,2521,640.00,3454.1,320.00,48932.8,40.00,34030400
11/081,2011-07-09,1,10,11,13,42,48,15,10,4,2,3,3,2,2,0,0,2,1,12825790.00,0,0.00,52,82490.00,127.5,9600.00,3332.2,640.00,4608,320.00,65534,40.00,35624330
11/080,2011-07-07,10,14,29,35,40,46,30,,2,4,2,4,1,1,1,2,1,0,0.00,1.5,1059450.00,30,141260.00,114.5,9600.00,1912.2,640.00,3574.2,320.00,37587.8,40.00,30764033
11/079,2011-07-05,9,16,22,28,30,32,37,,3,3,1,5,1,1,3,1,0,1,59028690.00,5.5,688090.00,211.2,47780.00,452,9600.00,10820.7,640.00,11120.2,320.00,180188.4,40.00,92140292
11/078,2011-07-02,5,13,31,33,34,35,27,,2,4,5,1,1,1,0,4,0,0,0.00,2.5,1131710.00,124.5,60600.00,275.9,9600.00,6130.7,640.00,7511.9,320.00,100801.3,40.00,62473042
11/077,2011-06-30,10,20,40,46,48,49,13,,2,4,1,5,1,1,0,1,3,0,0.00,4.5,564600.00,235.5,28760.00,250,9600.00,6420.5,640.00,6538.7,320.00,94995.6,40.00,57434811
11/076,2011-06-28,4,15,17,43,45,47,38,"4,45",3,3,5,1,1,2,0,0,3,0,0.00,0,0.00,80.5,85190.00,156,9600.00,3339.5,640.00,4524.5,320.00,64150.5,40.00,49056896
11/075,2011-06-25,4,23,24,30,34,45,19,,3,3,2,4,1,0,3,1,1,0,0.00,2.5,717760.00,88.5,54060.00,189,9600.00,3925.2,640.00,4575,320.00,65066.6,40.00,39887175
11/074,2011-06-23,2,15,27,32,43,49,42,32,2,4,4,2,1,1,1,1,2,0,0.00,0,0.00,30,175420.00,83.5,9600.00,2004.5,640.00,2966.5,320.00,42502.9,40.00,35540886
11/073,2011-06-21,9,10,16,21,32,47,38,16,4,2,3,3,2,1,1,1,1,0,0.00,1,1546990.00,52.5,78570.00,131,9600.00,2981.5,640.00,3431.3,320.00,55592.8,40.00,33001451
11/072,2011-06-18,14,16,38,44,48,49,39,"44,48",2,4,1,5,0,2,0,1,3,1,29300180.00,1,2213070.00,52.5,112410.00,233.5,9600.00,3262,640.00,6145.2,320.00,62914.9,40.00,46343205
11/071,2011-06-16,4,12,26,44,47,48,2,"12,48",2,4,1,5,1,1,1,0,3,0,0.00,0,0.00,52,109730.00,121,9600.00,3092.5,640.00,4305.2,320.00,58409.8,40.00,41724340
11/070,2011-06-14,12,13,19,22,39,48,46,13,4,2,3,3,0,3,1,1,1,0,0.00,0,0.00,43.5,108980.00,99,9600.00,2856.6,640.00,2826,320.00,58276.7,40.00,35255320
11/069,2011-06-12,1,4,13,17,35,44,22,,4,2,4,2,2,2,0,1,1,0.5,6990685.00,1,1771700.00,59,80070.00,200,9600.00,3434.2,640.00,5474.5,320.00,63047,40.00,39576203
11/068,2011-06-09,3,5,6,15,39,42,35,42,4,2,4,2,3,1,0,1,1,0,0.00,0.5,666255.00,48.5,73260.00,153,9600.00,3205.2,640.00,5175.8,320.00,63588,40.00,32373901
11/067,2011-06-07,22,24,33,36,42,49,38,"33,36,49",2,4,2,4,0,0,2,2,2,2,25535270.00,5,871360.00,149,77970.00,398,9600.00,7974.5,640.00,10592.7,320.00,142444.9,40.00,92463430
11/066,2011-06-04,7,8,33,36,46,49,18,7,2,4,3,3,2,0,0,2,2,1,20025210.00,1,2050550.00,91,60080.00,184,9600.00,3836.4,640.00,5598.3,320.00,72188.4,40.00,44301987
11/065,2011-06-02,2,7,18,23,39,47,17,39,4,2,4,2,2,1,1,1,1,0,0.00,1,1957850.00,70.5,74050.00,134,9600.00,3332.2,640.00,4856,320.00,61894.7,40.00,40355452
11/064,2011-05-31,1,4,10,24,30,39,8,,4,2,2,4,3,0,2,1,0,0,0.00,2,559600.00,102,29260.00,379.4,9600.00,5191,640.00,9347.9,320.00,79383.2,40.00,37959699
11/063,2011-05-28,7,13,34,38,43,44,10,44,2,4,3,3,1,1,0,2,2,1,20812000.00,0.5,1053930.00,73.5,76470.00,138,9600.00,3663.5,640.00,4301.4,320.00,65352.3,40.00,42781899
11/062,2011-05-26,5,6,22,37,44,48,23,48,3,3,2,4,2,0,1,1,2,0.5,11944165.00,0,0.00,67.5,100510.00,171.5,9600.00,3896.5,640.00,5683.1,320.00,75633.2,40.00,51154026
11/061,2011-05-24,11,20,31,33,39,48,4,,2,4,4,2,0,2,0,3,1,0,0.00,0.5,989200.00,79.5,66360.00,156,9600.00,3697.2,640.00,4619,320.00,65239.4,40.00,41565375
11/060,2011-05-22,15,17,22,36,45,47,35,15,3,3,4,2,0,2,1,1,2,0,0.00,0,0.00,30.5,116380.00,71,9600.00,1730.5,640.00,2837.7,320.00,33689,40.00,25550252
11/059,2011-05-20,13,15,18,30,32,48,8,,3,3,2,4,0,3,1,1,1,3,44509550.00,11.5,1388690.00,481.5,88440.00,1592.5,9600.00,27048.4,640.00,46995.6,320.00,514150.8,40.00,342962710
11/058,2011-05-17,12,14,27,35,46,49,31,35,2,4,3,3,0,2,1,1,2,0,0.00,8,1021350.00,224.5,97050.00,533,9600.00,11246.5,640.00,15730,320.00,217681.6,40.00,159101978
11/057,2011-05-14,4,10,15,22,33,35,48,4,4,2,3,3,2,1,1,2,0,0,0.00,3,1339440.00,175,61230.00,335.5,9600.00,8431.3,640.00,9147,320.00,152466.9,40.00,87186700
11/056,2011-05-12,4,9,25,28,39,45,30,39,2,4,4,2,2,0,2,1,1,0,0.00,3,1281980.00,105.5,97210.00,371.2,9600.00,7468.2,640.00,10579.5,320.00,142536.3,40.00,84454895
11/055,2011-05-08,10,14,26,29,39,41,6,,2,4,3,3,1,1,2,1,1,0,0.00,1,3040750.00,94.5,85800.00,257,9600.00,5273.4,640.00,7984.5,320.00,96186.4,40.00,63928210
11/054,2011-05-05,5,6,15,20,32,48,22,,4,2,2,4,2,2,0,1,1,0,0.00,1,2411880.00,92.5,69530.00,239.7,9600.00,4702.7,640.00,7035.5,320.00,90413.4,40.00,53422590
11/053,2011-05-03,2,3,13,23,34,38,5,"23,34",4,2,3,3,2,1,1,2,0,0,0.00,1.5,1257630.00,95.5,52670.00,275,9600.00,5597.7,640.00,8124,320.00,83693.6,40.00,48129777
11/052,2011-04-30,9,10,23,29,30,34,36,30,3,3,3,3,2,0,3,1,0,0,0.00,1,1364220.00,91,39970.00,232,9600.00,4752.7,640.00,5937.3,320.00,76735.3,40.00,37467825
11/051,2011-04-28,1,6,15,30,33,49,3,"15,30,49",3,3,4,2,2,1,1,1,1,0,0.00,4.5,304360.00,56.5,64640.00,227,9600.00,3366.9,640.00,5551.2,320.00,55331.4,40.00,33995839
11/050,2011-04-26,11,15,25,29,30,49,47,30,2,4,5,1,0,2,3,0,1,0.5,7294425.00,1.5,1197200.00,87.5,54720.00,131.5,9600.00,3415.1,640.00,3653,320.00,60705.9,40.00,37409831
11/049,2011-04-23,2,4,26,30,31,43,38,26,2,4,2,4,2,0,2,1,1,0,0.00,0,0.00,29,110470.00,97.5,9600.00,2338.2,640.00,2862,320.00,43662.2,40.00,25734501
11/048,2011-04-21,1,6,9,10,22,26,35,"1,22",5,1,2,4,4,0,2,0,0,3.5,13329810.00,4.5,333170.00,500.2,19200.00,466.5,9600.00,17420.3,640.00,10055.1,320.00,206578.1,40.00,79369908
11/047,2011-04-19,1,8,18,20,22,46,28,1,5,1,1,5,2,2,1,0,1,0,0.00,4,763040.00,157,51840.00,492,9600.00,8194.2,640.00,14601.5,320.00,140857.9,40.00,78952880
11/046,2011-04-16,1,16,17,26,31,36,45,,3,3,3,3,1,2,1,2,0,0,0.00,1,1462020.00,75.2,51840.00,130.5,9600.00,3941.5,640.00,3434,320.00,65702.5,40.00,33728030
11/045,2011-04-14,12,14,23,32,37,39,28,12,3,3,3,3,0,2,1,3,0,0,0.00,1.5,1026390.00,38.5,106630.00,116.5,9600.00,2471.4,640.00,3729.7,320.00,44961.4,40.00,31427980
11/044,2011-04-12,2,4,9,12,21,31,10,,5,1,3,3,3,1,1,1,0,0.5,4000000.00,1.5,574280.00,114,20150.00,408.7,9600.00,5407,640.00,8171.7,320.00,73308.6,40.00,29216641
11/043,2011-04-10,6,10,24,34,37,47,12,,3,3,2,4,2,0,1,2,1,2,14329850.00,2,1160450.00,62,99820.00,249.5,9600.00,4093.5,640.00,6972.5,320.00,77240.7,40.00,50627666
11/042,2011-04-07,1,5,21,26,31,43,22,26,3,3,5,1,2,0,2,1,1,0,0.00,0.5,1071345.00,65,87900.00,151,9600.00,3537.7,640.00,5237.4,320.00,68419.4,40.00,44118236
11/041,2011-04-05,8,10,26,29,41,44,9,,2,4,2,4,2,0,2,0,2,0,0.00,1,1618380.00,30.7,140570.00,182.5,9600.00,2873.9,640.00,5884.1,320.00,55679.3,40.00,36217980
11/040,2011-04-02,3,12,15,31,36,49,11,,3,3,4,2,1,2,0,2,1,0,0.00,0,0.00,35,102270.00,113,9600.00,2127.7,640.00,3781,320.00,44929.6,40.00,28310678
11/039,2011-03-31,6,23,24,38,39,40,32,24,3,3,2,4,1,0,2,3,0,1.5,5333330.00,0.5,687440.00,77,47610.00,127.5,9600.00,2670.6,640.00,3468.5,320.00,45932.9,40.00,29542332
11/038,2011-03-29,1,2,9,20,24,49,43,"2,20",5,1,3,3,3,1,1,0,1,1,8000000.00,1,1244840.00,103.5,32070.00,87,9600.00,4602.7,640.00,2683,320.00,71938,40.00,30808737
11/037,2011-03-26,2,12,20,25,31,47,29,,3,3,3,3,1,2,1,1,1,1,65235750.00,1,4296530.00,143.5,79840.00,371,9600.00,7459.9,640.00,10601.7,320.00,139057.6,40.00,90309645
11/036,2011-03-24,10,16,17,38,42,43,13,38,3,3,2,4,1,2,0,1,2,0,0.00,2,1941900.00,92.5,111960.00,276,9600.00,5695.2,640.00,7999.7,320.00,110643.8,40.00,77283230
11/035,2011-03-22,18,24,26,34,38,45,15,24,2,4,1,5,0,1,2,2,1,0,0.00,3,1188300.00,110.5,86030.00,278.5,9600.00,5839,640.00,7344.1,320.00,105795.3,40.00,72424267
11/034,2011-03-19,8,12,24,31,33,41,20,31,3,3,3,3,1,1,1,2,1,0.5,15923040.00,2,1083790.00,91,63510.00,186.2,9600.00,4807.9,640.00,5459.9,320.00,86704.7,40.00,48073604
11/033,2011-03-17,4,5,23,31,39,48,20,4,3,3,4,2,2,0,1,2,1,0,0.00,2,1082570.00,57.5,100410.00,157,9600.00,3873.2,640.00,5501.7,320.00,67334.1,40.00,45003357
11/032,2011-03-15,4,11,15,16,35,42,9,,4,2,3,3,1,3,0,1,1,0,0.00,3,542420.00,70.5,61550.00,187,9600.00,4044.9,640.00,5763,320.00,59925.1,40.00,38049006
11/031,2011-03-13,6,14,26,27,30,43,21,6,2,4,2,4,1,1,3,0,1,0,0.00,0.5,852295.00,32,142040.00,132,9600.00,2766.2,640.00,3429.2,320.00,52505.2,40.00,34672197
11/030,2011-03-10,2,6,21,45,46,49,28,,3,3,3,3,2,0,1,0,3,0,0.00,3,516060.00,39,105860.00,78.5,9600.00,2071.5,640.00,3053,320.00,42673.4,40.00,29824866
